Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2025-03-24 07:46:46.870,87404.00,1020.86,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86721.00,1012.73,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87582.00,1022.12,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87490.00,1020.88,0.20,11.95,1.00,0.00,0.00,4.00
2025-03-24 07:46:46.870,87411.00,1020.52,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86940.00,1014.80,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87136.00,1017.09,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87320.00,1019.48,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87365.00,1019.61,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86282.00,1007.49,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86120.00,1005.04,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86068.00,1004.59,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88375.00,1031.38,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88850.00,1036.03,0.19,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,74975.00,874.91,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,18097.00,276.65,0.20,15.65,52.00,0.31,0.00,6.15
2025-03-24 07:46:46.870,49283.00,574.82,0.20,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,49296.00,575.55,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,50473.00,588.32,0.20,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,51657.00,602.25,0.19,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,55554.00,648.16,0.19,11.95,3.00,0.15,0.00,52.00
2025-03-24 07:46:46.870,75281.00,879.71,0.19,11.97,27.00,0.11,0.00,4.00
2025-03-24 07:46:46.870,85123.00,993.11,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85968.00,1003.77,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85957.00,1003.05,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87307.00,1018.23,0.19,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86596.00,1011.79,0.19,11.96,25.00,0.10,0.00,4.00
2025-03-24 07:46:46.870,86133.00,1005.57,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86107.00,1005.15,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86593.00,1011.43,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88190.00,1030.06,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88385.00,1032.31,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88535.00,1033.70,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86541.00,1011.03,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85489.00,998.18,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85866.00,1002.85,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86349.00,1007.86,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86306.00,1007.48,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86513.00,1010.06,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86358.00,1007.48,0.20,11.95,0.00,0.00,0.00,0.00
