timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses
1742802408409,4,QUEUE,813,1243611.14,1114636.29,1176731.89,1179648.00,1232076.80,1243611.14,1244659.710,0,0,0,0,0,0,0,0
1742802408409,5,QUEUE,810,1246756.86,1117782.02,1179981.99,1182793.73,1236271.10,1247805.44,1248854.010,0,0,0,0,0,0,0,0
1742802408409,6,QUEUE,816,1248854.01,1118830.59,1184379.32,1184890.88,1237319.68,1248854.01,1249902.590,0,0,0,0,0,0,0,0
1742802408409,7,QUEUE,813,1250951.17,1120927.74,1177455.18,1186988.03,1240465.41,1251999.74,1253048.320,0,0,0,0,0,0,0,0
1742802408543,0,READ,824,690.17,0.00,143.55,112.00,330.50,530.43,662.01,572783976,-1717986919,422,67140,71728248,322122547,51,8407
1742802408543,1,READ,822,744.96,0.15,138.50,111.30,300.80,517.12,635.39,573757080,-1717986919,422,67252,71659976,322122547,55,8399
1742802408543,2,READ,823,601.09,0.22,138.51,112.89,303.87,478.98,573.44,574687504,-1717986919,424,67361,71941520,322122547,52,8434
1742802408543,3,READ,823,719.36,0.30,144.30,119.81,311.81,475.13,666.62,575566712,-1717986919,425,67468,71719632,322122547,49,8410
1742802408543,4,READ,822,877.57,0.06,150.30,123.39,326.40,534.01,634.37,576565424,-1717986919,425,67583,72240296,322122547,51,8466
1742802408543,5,READ,826,774.65,0.02,139.42,110.40,316.42,521.98,683.01,577427560,-1717986919,425,67688,71975664,322122547,56,8441
1742802408543,6,READ,818,724.99,0.10,147.20,119.94,323.33,526.34,621.05,578400664,-1717986919,425,67798,72419520,322122547,51,8489
1742802408543,7,READ,825,582.65,0.02,146.28,115.45,326.65,464.64,565.25,579279888,-1717986919,425,67899,72419520,322122547,52,8490
1742802408543,0,QUEUE,823,1376780.29,1248854.02,1306282.07,1315962.88,1366294.53,1377828.86,1378877.440,0,0,0,0,0,0,0,0
1742802408543,1,QUEUE,826,1370488.83,1241513.98,1303547.99,1307574.27,1358954.50,1370488.83,1372585.980,0,0,0,0,0,0,0,0
1742802408543,2,QUEUE,820,1371537.41,1241513.98,1300684.44,1307574.27,1360003.07,1371537.41,1372585.980,0,0,0,0,0,0,0,0
1742802408543,3,QUEUE,824,1373634.56,1245708.29,1307288.35,1311768.57,1362100.22,1372585.98,1374683.140,0,0,0,0,0,0,0,0
1742802408543,4,QUEUE,821,1373634.56,1244659.71,1298638.09,1311768.57,1362100.22,1374683.14,1375731.710,0,0,0,0,0,0,0,0
1742802408543,5,QUEUE,822,1376780.29,1247805.44,1311348.77,1313865.73,1364197.38,1376780.29,1377828.860,0,0,0,0,0,0,0,0
1742802408543,6,QUEUE,819,1377828.86,1249902.59,1312679.61,1315962.88,1366294.53,1378877.44,1379926.010,0,0,0,0,0,0,0,0
1742802408543,7,QUEUE,820,1380974.59,1251999.74,1314035.43,1318060.03,1369440.25,1382023.17,1383071.740,0,0,0,0,0,0,0,0
1742802408676,0,READ,826,622.08,0.14,135.31,111.42,309.25,488.70,596.99,630376544,-1717986919,490,73893,78975312,322122547,58,9254
1742802408676,1,READ,827,603.65,0.26,135.36,107.71,307.97,482.56,565.76,631289896,-1717986919,494,73998,78787568,322122547,65,9234
1742802408676,2,READ,824,653.82,0.07,141.20,113.47,314.62,502.53,594.43,632211784,-1717986919,495,74108,79154472,322122547,60,9278
1742802408676,3,READ,828,871.93,0.39,132.65,106.43,292.86,499.20,761.86,633441000,-1717986919,497,74176,78949656,322122547,57,9256
1742802408676,4,READ,824,908.80,0.21,147.01,116.42,325.89,485.12,610.30,633833656,-1717986919,497,74301,79376408,322122547,60,9305
1742802408676,5,READ,823,970.75,0.35,145.69,117.12,311.30,514.82,957.44,634081200,-1717986919,497,74331,79069096,322122547,68,9271
1742802408676,6,READ,809,740.86,0.01,144.37,119.81,309.50,516.10,740.86,634089736,-1717986919,497,74333,79376408,322122547,59,9301
1742802408676,7,READ,799,736.77,0.02,144.65,120.38,309.50,476.93,625.15,634089736,-1717986919,497,74333,79299568,322122547,61,9298
1742802408676,0,QUEUE,784,1506803.71,1378877.44,1439950.30,1440743.42,1488977.92,1502609.41,1505755.140,0,0,0,0,0,0,0,0
1742802408676,1,QUEUE,774,1497366.53,1372585.98,1432203.08,1432354.81,1480589.31,1493172.22,1496317.950,0,0,0,0,0,0,0,0
1742802408676,2,QUEUE,759,1495269.38,1372585.98,1431540.41,1431306.24,1478492.16,1492123.65,1495269.380,0,0,0,0,0,0,0,0
1742802408676,3,QUEUE,748,1495269.38,1374683.14,1432225.85,1432354.81,1478492.16,1492123.65,1495269.380,0,0,0,0,0,0,0,0
1742802408676,4,QUEUE,737,1504706.56,1374683.14,1432658.65,1432354.81,1479540.74,1503657.98,1504706.560,0,0,0,0,0,0,0,0
1742802408676,5,QUEUE,733,1506803.71,1377828.86,1434953.40,1434451.97,1480589.31,1506803.71,1506803.710,0,0,0,0,0,0,0,0
1742802408676,6,QUEUE,718,1507852.29,1378877.44,1429094.20,1435500.54,1480589.31,1505755.14,1509949.440,0,0,0,0,0,0,0,0
1742802408676,7,QUEUE,711,1512046.59,1382023.17,1434345.36,1438646.27,1483735.04,1512046.59,1513095.170,0,0,0,0,0,0,0,0
1742802408808,0,READ,648,1500.16,0.26,148.12,124.22,305.92,484.86,1479.68,676061600,-1717986919,562,79243,84643248,322122547,68,9920
1742802408808,1,READ,652,1141.76,0.06,155.37,124.67,336.38,602.62,1120.26,677026184,-1717986919,563,79362,84600600,322122547,72,9915
1742802408808,2,READ,648,10444.80,0.18,167.61,128.70,341.50,531.46,612.35,678007840,-1717986919,563,79478,84805352,322122547,69,9943
